ID,Наименование,Дата размещения КР,МКБ-10
762_2,"Трансплантация сердца, наличие трансплантированного сердца, отмирание и отторжение трансплантата сердца",8/19/2026,"T86.2, Z94.1"
507_4,Туберкулез у детей,8/14/2026,"A15, A16, A17, A18, A19"
535_3,Рак носоглотки,8/4/2026,C11
937_2,Множественная недостаточность карбоксилаз (недостаточность биотинидазы и синтетазы голокарбоксилаз),7/31/2026,E53.8
1063_1,Амблиопия,7/30/2026,H53.0
1062_1,Гипопитуитаризм,7/30/2026,"E23.0, E23.1, E89.3"
760_2,Прижизненное донорство почки,7/29/2026,Z52.4
761_2,"Трансплантация поджелудочной железы, наличие трансплантированной поджелудочной железы, отмирание и отторжение трансплантата поджелудочной железы",7/29/2026,"T86.8, Z94.8"
771_2,Острый гепатит С (ОГС) у взрослых,7/28/2026,B17.1
1060_1,"Переломы, вывихи пястных костей и фаланг пальцев кисти",7/20/2026,"S62.2, S62.20, S62.21, S62.30, S62.31, S62.40, S62.41, S62.50, S62.51, S62.60, S62.61, S62.70, S62.71, S62.8, S63.1, S63.2, S63.3, S63.4, S63.6, S63.7"
1061_1,Кожный рог,7/17/2026,L85.8
1058_1,Приобретенные деформации нижних конечностей (кроме стопы),7/14/2026,"M21.0, M21.1, M21.2, M21.7, M21.8, M21.9, M95.8, M99.9"
593_4,Проксимальная спинальная мышечная атрофия 5q,7/14/2026,"G12.0, G12.1"
1059_1,Недостаточность витамина D. Рахит.,7/10/2026,E55
1057_1,Гемодинамически значимый артериальный проток у недоношенного новорожденного,7/9/2026,P29.3
260_3,Врожденная цитомегаловирусная инфекция,7/8/2026,P35.1
123_6,Болезнь Виллебранда,7/7/2026,D68.0
1056_1,Первичная хроническая надпочечниковая недостаточность,7/6/2026,"E27.1, E27.2, E27.3, E27.4, E35.1, E89.6"
1054_1,Воспалительные заболевания век,7/3/2026,"H00, H00.0, H00.1, H01, H01.0, H01.1, H01.8, H01.9"
1053_1,Саркопения у пациентов пожилого и старческого возраста,7/2/2026,M62.8
1052_1,Нистагм,7/1/2026,H55
404_2,Целиакия,6/30/2026,"K90.0, K90.4"
1051_1,Нарушения аккомодации,6/29/2026,H52.5
318_3,Болезнь Фабри,6/26/2026,E75.2
773_2,Прогрессирующая мышечная дистрофия Дюшенна. Прогрессирующая мышечная дистрофия Беккера,6/25/2026,G71.0
1055_1,Диффузный токсический зоб (Болезнь Грейвса),6/22/2026,"E05.0, E05.3, E05.4, E05.5, E05.8"
1049_1,Воспалительные заболевания челюстей. Одонтогенный остеомиелит челюсти.,6/19/2026,K10.2
1050_1,"Одно- и двусторонняя расщелина верхней губы, альвеолярного отростка, твердого и мягкого нёба",6/17/2026,"Q35, Q36, Q37"
1048_1,Идиопатическая низкорослость у детей и подростков,6/16/2026,E34.3
1047_1,Врожденный гиперинсулинизм,6/15/2026,"E15, E16.1, E16.2, E16.8, E16.9"
511_2,"Врожденная инфекция, вызванная вирусом простого герпеса [herpes simplex]",6/11/2026,P35.2
1045_1,Врожденный буллезный эпидермолиз,6/10/2026,Q81
1046_1,"Синдром истощения митохондриальной ДНК, TK2-ассоциированный",6/9/2026,G71.3
1043_1,Острое повреждение почек у новорождённых детей,6/8/2026,"N17.9, P96.0"
1044_1,"Уропатия, обусловленная пузырно-мочеточниковым рефлюксом",6/5/2026,"N11.0, N13.7, N13.8, N13.9, Q62.7"
1042_1,Несодружественное косоглазие,6/4/2026,"H49.9, H50.2"
1040_1,Периферические дегенерации сетчатки,6/3/2026,"H33.3, H35.4, H43.8"
1041_1,Недостаточность питания у детей старше 1 года (Белково-энергетическая недостаточность),5/29/2026,"E43, E44, E45, E46"
1039_1,Варикозное расширение вен таза и вульвы у женщин,5/26/2026,"I86.2, I86.3, I87.1"
1037_1,Дерматофития,5/19/2026,B35
1038_1,Крипторхизм у детей,5/18/2026,"Q53.0, Q53.1, Q53.2, Q53.9"
1033_1,Первичный билиарный холангит,5/14/2026,K74.3
1036_1,Болезнь Гиршпрунга,5/13/2026,Q43.1
1035_1,Хирургические инфекции кожи и подкожной клетчатки у детей,5/12/2026,"L03.0, L03.1, L03.3, L03.8, L04.1, L04.2, L04.3, L04.8, L08.8, L98.6, T79.3"
1034_1,Травма зубов,5/8/2026,"S02.5, S03.2"
1032_1,Атрофия и аномалии зрительного нерва,5/7/2026,"H47.1, H47.2, H47.3, H48.1, Q14.2"
1031_1,Клещевой вирусный энцефалит у детей,5/4/2026,"A84, A87.8"
1030_1,Омфалит у новорожденных,4/30/2026,P38
1029_1,Центральная серозная хориоретинопатия,4/28/2026,H35.7
80_2,Трофобластические опухоли,4/15/2026,C58
1028_1,Другие уточненные врожденные аномалии органов дыхания (первичная цилиарная дискинезия),4/14/2026,Q34.8
286_3,Сахарный диабет 1 типа у взрослых,3/2/2026,"E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9"
340_2,Синдром дыхательного расстройства у новорожденного,2/13/2026,P22.0
1027_1,Аутоиммунная гемолитическая анемия,2/3/2026,"D59.1, D59.8, D59.9"
1026_1,Синдром Мэллори-Вейсса (желудочно-пищеводный разрывно-геморрагический синдром),2/2/2026,K22.6
1025_1,Отравление сердечными гликозидами и препаратами аналогичного действия,1/30/2026,T46.0
743_2,Острые отравления опиоидными наркотическими веществами,1/29/2026,"T40.0, T40.1, T40.2, T40.3"
222_2,Красная волчанка,1/28/2026,L93
1024_1,Коронавирусная инфекция COVID-19,1/28/2026,"U07.1, U07.2"
1023_1,Коклюш у детей,1/26/2026,A37
581_2,Варикоцеле у детей,1/26/2026,I86.1
1022_1,Синдром прорезывания зубов (временных),1/23/2026,"K00.7, K09.0"
732_2,Очаговая травма головного мозга,1/22/2026,"S06.1, S06.2, S06.3, S06.4, S06.5, S06.6, S06.7"
1021_1,Кариес зубов,1/22/2026,K02
30_5,Злокачественное новообразование бронхов и легкого,1/22/2026,C34
1020_1,Менингококковая инфекция,1/20/2026,A39
516_3,Хронический вирусный гепатит С,1/19/2026,B18.2
107_2,Ретинопатия недоношенных,1/19/2026,"H35.1, H35.2"
1019_1,Другие гепатиты,1/19/2026,"K73.1, K73.2, K73.8, K73.9, K75.2, K75.9, K76.8, K76.9, K77.8"
1018_1,Плоскостопие у детей,1/16/2026,"M21.0, M21.4, Q66.5, Q66.6, Q66.8, Q74.8"
16_4,Туберкулез у взрослых,1/16/2026,"A15, A16, A17, A18, A19"
232_2,Пиодермии,1/16/2026,"L00, L01, L02, L08.0, L08.8, L08.9, L73.8, L73.9, L74.0, L74.1, L74.3, L74.8, P39.4"
1017_1,Чесотка,1/15/2026,B86
734_2,Сотрясение головного мозга,1/15/2026,S06.0
1016_1,Критическая ишемия нижних конечностей (КИНК),1/14/2026,"E13.5, E14.5, I70.0, I70.8, I73.8, I79.2, I79.8"
54_3,Инфекционный эндокардит и инфекция внутрисердечных устройств,1/14/2026,"I33, I38, I39, T85.7"
832_2,Закрытые повреждения мягких тканей конечностей,1/13/2026,"S40.0, S46.1, S46.2, S46.7, S46.8, S46.9, S50.0, S56.7, S56.8, S60.0, S60.1, S60.2, S66.6, S66.7, S66.8, S66.9, S70.0, S70.1, S73.1, S76.1, S76.3, S76.4, S76.7, S79.7, S79.8, S80.0, S80.1, S80.7, S80.8, S80.9, S86.0, S86.1, S86.2, S86.3, S86.7, S86.8, S86.9, S90.0, S90.1, S90.2, S90.3, S93.2, S93.4, S93.6, S96.1, S96.7, S96.9, T06.4, T11.5, T13.5, T14.6, T93.3, T93.5"
1014_1,Острые заболевания и травмы органов мошонки и полового члена у детей,1/12/2026,"N44, N45.0, N45.9, N47, N48.1, N48.3, N48.6, N49.2, N49.8, N49.9, N51.1, N51.2, S30.2, S31.2, S31.3, S31.5"
1015_1,Кариес зубов	у детей,1/12/2026,"K02.0, K02.1, K02.3"
1013_1,Приобретенный кератоз (кератодермия) ладонно-подошвенный,1/12/2026,"L85.1, L85.2, L85.9"
493_3,Черепно-мозговая травма у детей,1/12/2026,S06
1010_1,Кератит,1/12/2026,"H16.1, H16.2, H16.3, H16.8, H16.9, H17.1, H17.8, H18.2, H18.3, H18.8, H19.1"
1011_1,"Избыточная крайняя плоть, фимоз и парафимоз",12/30/2025,N47
1012_1,Ретинальные артериальные окклюзии,12/30/2025,"H34.0, H34.1, H34.2"
1005_1,Системный склероз,12/30/2025,"M34.0, M34.8, M34.9"
1009_1,Цитомегаловирусная инфекция (ЦМВИ) у взрослых,12/30/2025,B25
1008_1,Дилатационная кардиомиопатия,12/30/2025,"I42.0, I42.6, I42.7, I42.8, I42.9, I43.0, I43.1, I43.2, I43.8, O90.3"
87_5,Остеопороз,12/30/2025,"M81.0, M81.1, M81.2, M81.3, M81.4, M81.5, M81.8, M81.9"
1006_1,Острая ишемия конечностей,12/29/2025,"I74.0, I74.1, I74.2, I74.3, I74.5, I74.8, I74.9, I77.0, I77.8, S55.1"
1007_1,Воспалительные болезни органов мошонки,12/29/2025,"N45.0, N45.9, N49.2"
1004_1,Талассемия,12/26/2025,"D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9"
1003_1,Аскаридоз,12/26/2025,B77
736_2,Саркоидоз,12/26/2025,"D86.0, D86.1, D86.2, D86.3, D86.8, D86.9"
523_3,Геморрагический инсульт,12/26/2025,"I60, I61, I62, Q28.2"
998_1,Токсические и метаболические поражения нервной системы,12/26/2025,"E51.2, G31.2, G62.0, G62.1, G62.2, G63.2, G63.3, G63.8, G92"
1002_1,Пиодермия гангренозная,12/25/2025,L88
1001_1,Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации,12/25/2025,"M19.0, M19.1, M19.2, M19.8"
999_1,Приобретенные деформации стопы,12/25/2025,"M20.1, M20.2, M20.3, M20.4, M20.5, M20.6, M21.3, M21.4, M21.5, M21.6, M21.9"
1000_1,Эозинофильный эзофагит,12/25/2025,K20
997_1,Воспалительные заболевания челюстей. Одонтогенный остеомиелит челюсти,12/24/2025,"K10.2, M86"
995_1,Вирусные менингиты у детей,12/24/2025,"A87.0, A87.1, A87.2, A87.8, A87.9, B00.3, B01.0, B02.1, B05.1, B26.1, G02.0, G03.9"
996_1,Розовый лишай Жибера,12/24/2025,L42
175_3,Болезнь Гиршпрунга,12/23/2025,"Q43.1, Q43.8"
994_1,Пищевая аллергия,12/23/2025,"K52.2, L27.2, T78.1"
992_1,Приобретённая патология слёзоотводящих путей,12/23/2025,"H04.3, H04.4, H04.5, H04.8"
993_1,Гидроцеле,12/23/2025,"N43.0, N43.1, N43.2, N43.3"
10_5,Рак паренхимы почки,12/23/2025,"C64, D41.0"
991_1,Лагофтальм,12/23/2025,H02.2
187_3,Ректовагинальный свищ,12/22/2025,N82.3
990_1,Сперматоцеле,12/22/2025,"D29.3, N43.4"
989_1,"Воспалительные болезни шейки матки, влагалища и вульвы",12/22/2025,"N72, N76, N77.1, T19.2"
37_2,Аортальный стеноз,12/22/2025,"I06.0, I06.2, I06.8, I06.9, I08.2, I08.8, I08.9, I35.0, I35.2, I35.8, I35.9, Q23.0"
988_1,Мононевропатии,12/22/2025,"G54.0, G54.1, G54.2, G54.3, G54.4, G54.5, G54.8, G54.9, G56.0, G56.1, G56.2, G56.3, G56.8, G56.9, G57.0, G57.2, G57.3, G57.4, G57.6, G58.8, G58.9, G59.8"
566_2,Болезнь Лайма у взрослых,12/19/2025,A69.2
987_1,Врожденная патология слёзоотводящей системы у детей,12/18/2025,"P39.1, Q10.4, Q10.5, Q10.6"
728_2,Закрытая травма груди,12/18/2025,"S20.0, S20.1, S20.2, S20.3, S20.4, S20.7, S20.8, S22.2, S22.3, S22.4, S22.5, S23.4, S25.0, S25.1, S25.2, S25.3, S25.4, S25.5, S25.7, S25.8, S25.9, S26.0, S26.8, S26.9, S27.0, S27.1, S27.2, S27.3, S27.4, S27.5, S27.6, S27.7, S27.8, S27.9, S28.0, S29.0, S29.7, S29.8, S29.9"
986_1,Внутриматочные синехии,12/18/2025,"N85.6, N85.8"
985_1,Полип шейки матки,12/18/2025,N84.1
983_1,Аортальная недостаточность,12/17/2025,"I06.1, I35.1, Q23.1, Q23.8, Q23.9"
984_1,Доброкачественные новообразования яичников,12/17/2025,"D27, N83, Q50.1, Q50.5"
981_1,Несрастание перелома (псевдоартроз). Замедленное сращение перелома.,12/16/2025,"M84.0, M84.1, M84.2"
982_1,Закрытая травма груди,12/16/2025,"S20, S22.2, S22.3, S22.4, S22.5, S23.4, S25, S26, S27, S28.0, S29"
165_2,Миастения,12/15/2025,"G70.0, G70.2, G70.8, G70.9"
614_3,"Патологические переломы, осложняющие остеопороз",12/15/2025,"M80, M80.0, M80.1, M80.2, M80.3, M80.4, M80.5, M80.8, M80.9"
